empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
ABBAS CARGO AGENCIES SERVICES GROUP COLOMBIA SAS,RUJANA DUQUE EDIN ALBERTO,CALLE 93 BIS #19-40 OFICINA 202,4839605,Bogotá,INTERNACIONAL PUBLICO
ABELARDO MINA MURILLO,ABELARDO MINA MURILLO,CALLE 3 5A 13,241 188 47,Buenaventura,CABOTAJE PUBLICO
ADIELA GUMERSINDA REALPE VALENCIA,ADIELA GUMERSINDA REALPE VALENCIA,PUERTO PALMA LOCAL 4C-29,3127170714,Tumaco,INTERNACIONAL PUBLICO
ADIELA GUMERSINDA REALPE VALENCIA,ADIELA GUMERSINDA REALPE VALENCIA,PUERTO PALMA LOCAL 4C-29,3127170714,Tumaco,CABOTAJE PUBLICO
ADUACARGA INTERNATIONAL LOGISTICS SA,DORA MARIELA RODRIGUEZ GARZON,CALLE 142 51 A 23,429 58 11,Bogotá,INTERNACIONAL PUBLICO
ADY FRANCISCO VALENTIERRA CASTRO,ADY FRANCISCO VALENTIERRA CASTRO,KILOMETRO 4 EL PIÑAL,0992 47 382,Buenaventura,CABOTAJE PUBLICO
AGENCIA COLOMBIANA DE LOGISTICA LTDA AC LOGISTICA LTDA,MARIA ISABEL HERNANDEZ BUITRAGO,CARRERA 12 A No. 77 41 P 4,6102294,Bogotá,INTERNACIONAL PUBLICO
AGENCIA SERVIMART,MARIA TERESA VERGARA VILLAREAL,CENTRO COMERCIAL GETSEMANI LOCAL 1A,664 46 77,Cartagena,CABOTAJE PUBLICO
AGENCIA SERVIMART,MARIA TERESA VERGARA VILLAREAL,CENTRO COMERCIAL GETSEMANI LOCAL 1A,664 46 77,Cartagena,CABOTAJE PUBLICO
AGROPESQUERA INDUSTRIAL BAHIA CUPICA LIMITADA SOCIEDAD CI,MARTHA LUCIA DE LA PAVA,CALLE 6 # 22-8 AVENIDA SIMON BOLIVAR,244832731,Buenaventura,CABOTAJE PRIVADO
AIDA CRUISES GERMAN BRANCH OF SOCIETA DI CROCIERE MERCURIO SRL,MICHAEL THAMM,ROSTOCK ALEMANIA,4.90381E+12,Cartagena,INTERNACIONAL PUBLICO
AIRMAR CARGO S A,JORGE ALBERTO RODRIGUEZ FORERO,KR 98 N. 25 G 64 OF 306,6180103-6185184,Bogotá,INTERNACIONAL PUBLICO
AIRSEATRANS S A,LUIS EDUARDO PIÑERES GARCIA,CARRERA 99 # 46A-10 INTERIOR 13,4222090,Bogotá,INTERNACIONAL PUBLICO
AIRTOURS PLC AIRTOURS,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
ALADDIN CARGO S A,BERNARDO LEYVA FRANCO,CARRERA 97 24 C 60 BODEGA 3,404 95 04,Bogotá,INTERNACIONAL PUBLICO
ALFONSO SOLIS CAICEDO,ALFONSO SOLIS CAICEDO,1 SUR CARRERA 63A ESQUINAS B LOS PINOS,922426453,Buenaventura,CABOTAJE PUBLICO
ALIANCA NAVEGACAO E LOGISTICA LTDA,EDUARDO ULLOA GARCIA,CARRERA 10 28 49,282 52 00,Bogotá,INTERNACIONAL PUBLICO
ALKAMAR LTDA,CARLOS ABEL CASAS ZARATE,AVENIDA PEDRO DE HEREDIA ALCIBIA # 22-62 PISO 2,6627706,Cartagena,CABOTAJE PUBLICO
ALMAVIVA GLOBAL CARGO SAS EX CI ALMAVIVA COMERCIALIZADORA INT. SA,PALOMA BONILLA ALVARO,CALLE 35 # 7-47 PISO 5 EDIFICIO BANCO DE BOGOTA,3381799,Bogotá,INTERNACIONAL PUBLICO
ALMEP S.A.S.,ALBA LUZ MESA PERSIA,CALLE 4 #25-47 CALI,5580273,Buenaventura,INTERNACIONAL PUBLICO
ALTEX CHARTERED INC,NERIS ZAMBRANO DE SANSON,CARRERA 46 # 53-15 EDIFICIO TORRE 46 PISO 13,942514166,Bogotá,INTERNACIONAL PUBLICO
AMERICAN PRESIDENT LINES LTD.,JUAN SANZ SANTA MARIA,CALLE 79 # 9-10,3120600,Bogotá,INTERNACIONAL PUBLICO
AMERICANA DE CARGA LTDA,GABRIEL MOJICA SAAVEDRA,CARRERA 70 D NO 48 A - 37 BOGOTÁ,4107174,Bogotá,INTERNACIONAL PUBLICO
ANCHOR SHIPPING COLOMBIA EU,PEDRO FELIX MARDINI RINCON,CALLE 122 # 20-09 OFICINA 401,6209515,Bogotá,INTERNACIONAL PUBLICO
ANCLA CARGA LTDA,BRADLEY CARL VICTOR,AVENIDA ELDORADO 84 A 55 OFICINA 16E,410 38 76,Bogotá,INTERNACIONAL PUBLICO
ANGULO MORENO SEBASTIAN,SEBASTIAN ANGULO MORENO,BARRIO LA PLAYITA CALLE EL ESFUERZO # 1-21,3216277384,Buenaventura,CABOTAJE PUBLICO
ANGULO RAMOS SANTANDER,ANGULO RAMOS SANTANDER,CLL 6 22 C 02 BODEGA EL AMIGAZO BRR EL PIÑAL,3105347915,Buenaventura,CABOTAJE PUBLICO
ANKER LOGISTICA Y CARGA LTDA,JAMES ARNULFO ORTIZ,CRA 74 #55-66 NORMADIA II,7020461,Bogotá,INTERNACIONAL PUBLICO
ANL SINGAPORE PTE LTD,DIANA RAMIREZ NAVARRO,CALLE 72 # 5 - 83 PISO 5,3264270,Bogotá,INTERNACIONAL PUBLICO
